	base	Pop	Trt
JZ103_CpG	1	0	1
JZ104_CpG	1	0	0
JZ106_CpG	1	0	0
JZ108_CpG	1	0	0
JZ110_CpG	1	0	0
JZ111_CpG	1	0	0
JZ113_CpG	1	0	0
JZ116_CpG	1	0	0
JZ117_CpG	1	0	0
JZ11_CpG	1	1	1
JZ122_CpG	1	0	0
JZ123_CpG	1	0	0
JZ129_CpG	1	1	1
JZ130_CpG	1	1	1
JZ131_CpG	1	1	1
JZ132_CpG	1	1	1
JZ134_CpG	1	1	0
JZ135_CpG	1	1	0
JZ138_CpG	1	1	0
JZ142_CpG	1	1	0
JZ145_CpG	1	1	0
JZ147_CpG	1	1	0
JZ15_CpG	1	1	0
JZ166_CpG	1	1	1
JZ167_CpG	1	1	1
JZ169_CpG	1	1	1
JZ214_CpG	1	1	1
JZ23_CpG	1	1	1
JZ2_CpG	1	1	0
JZ32_CpG	1	1	0
JZ33_CpG	1	1	0
JZ39_CpG	1	0	0
JZ3_CpG	1	1	0
JZ40_CpG	1	0	0
JZ41_CpG	1	0	0
JZ48_CpG	1	0	1
JZ49_CpG	1	0	1
JZ51_CpG	1	0	1
JZ5_CpG	1	1	0
JZ60_CpG	1	1	0
JZ61_CpG	1	1	0
JZ63_CpG	1	0	1
JZ64_CpG	1	0	1
JZ66_CpG	1	1	1
JZ67_CpG	1	1	1
JZ70_CpG	1	0	1
JZ71_CpG	1	0	1
JZ72_CpG	1	1	0
JZ74_CpG	1	1	0
JZ75_CpG	1	1	1
JZ78_CpG	1	1	1
JZ7_CpG	1	1	1
JZ82_CpG	1	1	0
JZ83_CpG	1	1	0
JZ87_CpG	1	0	1
JZ88_CpG	1	0	1
JZ92_CpG	1	0	1
JZ93_CpG	1	0	1
JZ96_CpG	1	0	1
JZ98_CpG	1	0	0
JZ99_CpG	1	0	0

