 base Pop Trt
LZ101_CpG 1 0 1
LZ104_CpG 1 0 0
LZ106_CpG 1 0 0
LZ108_CpG 1 0 0
LZ109_CpG 1 0 0
LZ10_CpG 1 1 1
LZ110_CpG 1 0 0
LZ111_CpG 1 0 0
LZ112_CpG 1 0 0
LZ114_CpG 1 0 0
LZ116_CpG 1 0 0
LZ117_CpG 1 0 0
LZ121_CpG 1 0 0
LZ122_CpG 1 0 0
LZ123_CpG 1 0 0
LZ129_CpG 1 1 1
LZ130_CpG 1 1 1
LZ131_CpG 1 1 1
LZ132_CpG 1 1 1
LZ135_CpG 1 1 0
LZ138_CpG 1 1 0
LZ13_CpG 1 1 0
LZ140_CpG 1 1 0
LZ146_CpG 1 1 0
LZ15_CpG 1 1 0
LZ166_CpG 1 1 1
LZ168_CpG 1 1 1
LZ169_CpG 1 1 1
LZ211_CpG 1 1 1
LZ214_CpG 1 1 1
LZ21_CpG 1 1 1
LZ23_CpG 1 1 1
LZ25_CpG 1 1 0
LZ26_CpG 1 1 0
LZ2_CpG 1 1 0
LZ30_CpG 1 1 0
LZ32_CpG 1 1 0
LZ39_CpG 1 0 0
LZ3_CpG 1 1 0
LZ40_CpG 1 0 0
LZ41_CpG 1 0 0
LZ47_CpG 1 0 1
LZ48_CpG 1 0 1
LZ49_CpG 1 0 1
LZ52_CpG 1 0 1
LZ60_CpG 1 1 0
LZ61_CpG 1 1 0
LZ63_CpG 1 0 1
LZ64_CpG 1 0 1
LZ66_CpG 1 1 1
LZ6_CpG 1 1 1
LZ71_CpG 1 0 1
LZ72_CpG 1 1 0
LZ74_CpG 1 1 0
LZ75_CpG 1 1 1
LZ78_CpG 1 1 1
LZ7_CpG 1 1 1
LZ81_CpG 1 1 0
LZ87_CpG 1 0 1
LZ88_CpG 1 0 1
LZ92_CpG 1 0 1
LZ93_CpG 1 0 1
LZ94_CpG 1 0 1
LZ95_CpG 1 0 1
LZ96_CpG 1 0 1
LZ97_CpG 1 0 1
LZ99_CpG 1 0 0
LZ9_CpG 1 1 1

