	base	Pop	Trt
W126B_CpG	1	1	0
W127B_CpG	1	1	0
W128B_CpG	1	1	0
W149C_CpG	1	1	0
W150C_CpG	1	1	0
W152C_CpG	1	1	0
W153_CpG	1	1	0
W154_CpG	1	1	0
W155_CpG	1	1	0
W172_CpG	1	1	1
W173_CpG	1	1	1
W174_CpG	1	1	1
W175_CpG	1	1	1
W179_CpG	1	1	1
W17_CpG	1	0	1
W182_CpG	1	1	0
W183_CpG	1	1	0
W184_CpG	1	1	0
W188_CpG	1	1	1
W189_CpG	1	1	1
W18_CpG	1	0	1
W193_CpG	1	1	1
W194_CpG	1	1	1
W196_CpG	1	1	1
W198_CpG	1	1	1
W19_CpG	1	0	1
W202_CpG	1	1	1
W205_CpG	1	1	1
W206_CpG	1	1	0
W209_CpG	1	1	1
W20_CpG	1	0	1
W210_CpG	1	1	1
W218_CpG	1	1	1
W219_CpG	1	1	1
W223_CpG	1	1	0
W224_CpG	1	1	0
W228_CpG	1	1	0
W229_CpG	1	1	0
W230_CpG	1	1	1
W231_CpG	1	1	1
W233_CpG	1	1	0
W234_CpG	1	1	0
W235_CpG	1	1	0
W239_CpG	1	0	0
W241_CpG	1	0	0
W242_CpG	1	0	0
W243_CpG	1	0	1
W244_CpG	1	0	1
W245_CpG	1	0	1
W246_CpG	1	0	1
W247_CpG	1	0	1
W248_CpG	1	0	0
W249_CpG	1	0	0
W250_CpG	1	0	1
W256C_CpG	1	0	1
W257_CpG	1	0	1
W258_CpG	1	0	1
W259_CpG	1	0	0
W261_CpG	1	0	0
W262_CpG	1	0	0
W264_CpG	1	0	0
W265_CpG	1	0	0
W266A_CpG	1	0	1
W267A_CpG	1	0	1
W268A_CpG	1	0	0
W269_CpG	1	0	0
W27A_CpG	1	0	1
W27B_CpG	1	0	1
W28A_CpG	1	0	1
W28B_CpG	1	0	1
W29A_CpG	1	0	1
W300A_CpG	1	0	0
W301A_CpG	1	0	0
W302A_CpG	1	0	0
W303A_CpG	1	0	0
W304_CpG	1	0	0
W305_CpG	1	0	0
W306_CpG	1	0	0
