  base  Trt
LZ10_CpG  1  0
LZ129_CpG  1  0
LZ13_CpG  1  1
LZ130_CpG  1  0
LZ131_CpG  1  0
LZ132_CpG  1  0
LZ135_CpG  1  1
LZ138_CpG  1  1
LZ140_CpG  1  1
LZ146_CpG  1  1
LZ15_CpG  1  1
LZ166_CpG  1  0
LZ168_CpG  1  0
LZ169_CpG  1  0
LZ2_CpG  1  1
LZ21_CpG  1  0
LZ211_CpG  1  0
LZ214_CpG  1  0
LZ23_CpG  1  0
LZ25_CpG  1  1
LZ26_CpG  1  1
LZ3_CpG  1  1
LZ30_CpG  1  1
LZ32_CpG  1  1
LZ6_CpG  1  0
LZ60_CpG  1  1
LZ61_CpG  1  1
LZ66_CpG  1  0
LZ7_CpG  1  0
LZ72_CpG  1  1
LZ74_CpG  1  1
LZ75_CpG  1  0
LZ78_CpG  1  0
LZ81_CpG  1  1
LZ9_CpG  1  0
