	base	Trt
W126B_CpG	1	0
W127B_CpG	1	0
W128B_CpG	1	0
W149C_CpG	1	0
W150C_CpG	1	0
W152C_CpG	1	0
W153_CpG	1	0
W154_CpG	1	0
W155_CpG	1	0
W172_CpG	1	1
W173_CpG	1	1
W174_CpG	1	1
W175_CpG	1	1
W179_CpG	1	1
W182_CpG	1	0
W183_CpG	1	0
W184_CpG	1	0
W188_CpG	1	1
W189_CpG	1	1
W193_CpG	1	1
W194_CpG	1	1
W196_CpG	1	1
W198_CpG	1	1
W202_CpG	1	1
W205_CpG	1	1
W206_CpG	1	0
W209_CpG	1	1
W210_CpG	1	1
W218_CpG	1	1
W219_CpG	1	1
W223_CpG	1	0
W224_CpG	1	0
W228_CpG	1	0
W229_CpG	1	0
W230_CpG	1	1
W231_CpG	1	1
W233_CpG	1	0
W234_CpG	1	0
W235_CpG	1	0
